店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
牛タンと全席完全個室 東北郷土料理居酒屋 奥羽本荘 本厚木,050-5493-7181,,神奈川県,厚木市中町,2-4-16,トキワヤビル,,False
肉×ワイン ビストロ・イタリアン ユナイテッド,050-5486-0293,,神奈川県,横浜市戸塚区戸塚町,4000-1,,,False
ポムの樹 幸せのオムライス＆フレンチトーストヨドバシ横浜店,050-5494-2378,,神奈川県,横浜市西区北幸,1-2-7,ヨドバシ横浜B2,,False
キッチン大宮 マークイズみなとみらい店,050-5484-8622,,神奈川県,横浜市西区みなとみらい,3-5-1,MARK IS みなとみらい4F,,False
洋食葉椰子,050-5493-1753,,神奈川県,小田原市栄町,2-7-30,内田ビル1F,,False
八郎酒場×三崎まぐろtunaがる×沖縄酒場じゅにまーる,050-5487-2419,,神奈川県,横浜市中区花咲町,1-39-7,ドリームランド2F,,False
デリッシュ・ウフ ラゾーナ川崎店,050-5494-3566,,神奈川県,川崎市幸区堀川町,72-1,ラゾーナ川崎プラザ4F,,False
ラケル シァル鶴見店,050-5494-2318,,神奈川県,横浜市鶴見区鶴見中央,1-1-2,シァル鶴見6F,,False
ラケル テラスモール湘南店,050-5494-2319,,神奈川県,藤沢市辻堂神台,1-3-1,テラスモール湘南4F,,False
ラケル 海老名ビナウォーク店,050-5494-2316,,神奈川県,海老名市中央,1-4-1,ビナウォーク5番館1F,,False
ラケル 上大岡店,050-5494-2334,,神奈川県,横浜市港南区上大岡西,1-6-1,京急ショッピングプラザ ウィング上大岡,,False
ラケル マルイファミリー溝口店,050-5494-2333,,神奈川県,川崎市高津区溝口,1-4-1,マルイファミリー溝口10F,,False
キッチンパレット ジョイナス店,050-5494-2403,,神奈川県,横浜市西区南幸,1-5-1,ジョイナスB2,,False
ポムの樹 ビナウォーク海老名店,050-5494-2372,,神奈川県,海老名市中央,1-6-1,ビナウォーク海老名3番館6F,,False
ポムの樹 イオン新百合ヶ丘店,050-5494-2374,,神奈川県,川崎市麻生区上麻生,1-19,イオン新百合ヶ丘5F,,False
KITCHEN JO’S CIAL桜木町店,050-5494-2121,,神奈川県,横浜市中区桜木町,1-1,CIAL1F,,False
神田グリル 本厚木ミロード店,050-5494-3622,,神奈川県,厚木市泉町,1-1,小田急本厚木ミロード1 6F,,False
Kitchen Bitte,050-5489-3094,,神奈川県,逗子市沼間,1-1-23,ショコラM 1F,,False
米国風洋食 横浜野毛 センターグリル,050-5485-2501,,神奈川県,横浜市中区花咲町,1-9,,,False
ラ・プラタ,050-5493-8671,,神奈川県,鎌倉市小町,2-9-22,2F,,False
A5和牛とチーズのお店 Spica,050-5486-9321,,神奈川県,藤沢市鵠沼花沢町,1-5,フラワービル2F,,False
一軒家貸切パーティー roku cafe 横浜,050-5485-5455,,神奈川県,横浜市西区北幸,2-11-23,,,False
JH Cafe,045-664-0777,,神奈川県,横浜市中区元町,3-145,TK-1ビルB1,,False
kawara CAFE＆DINING 横須賀モアーズ店,050-5485-4838,,神奈川県,横須賀市若松町,2-30,横須賀モアーズシティ8F,,False
kawara CAFE＆DINING 川崎モアーズ店,050-5488-0725,,神奈川県,川崎市川崎区駅前本町,7-7,川崎モアーズ7F,,False
美女と野獣のカフェ＆レストランBeauty＆the Beast,050-5486-1660,,神奈川県,横浜市中区山下町,219,カーサ丸徳B1,,False
ＫＵＢＯＴＡ食堂,050-5488-6998,,神奈川県,横浜市神奈川区東神奈川,1-10-1,ザ・ステーションタワー東神奈川店舗3,,False
グリル蔵敷ジョイナステラス二俣川,050-5492-8813,,神奈川県,横浜市旭区二俣川,2-50-14,ジョイナステラス二俣川4F,,False
四六時中 茅ヶ崎中央店,050-5489-2177,,神奈川県,茅ヶ崎市茅ヶ崎,3-5-16,イオン茅ヶ崎中央店2F,,False
Bricks Studio,050-5493-8398,,神奈川県,横浜市中区太田町,5-65,横浜平和プラザホテル2F,,False
楽縁,050-5494-7699,,神奈川県,鎌倉市小町,2-11-11,大谷ビル2F,,False
LOVOT cafe,050-5492-1676,,神奈川県,川崎市幸区堀川町,72-1,ラゾーナ川崎プラザ2F,,False
たまご cafe ごはん,050-5494-3119,,神奈川県,横浜市瀬谷区瀬谷,4-9-1,,,False
個室居酒屋横丁 九州酒場 藤沢日和,050-5488-0911,,神奈川県,藤沢市南藤沢,23-3,3F,,False
個室居酒屋 炭火焼き鳥 食べ放題 塚っ子道場 平塚駅前店,050-5488-0688,,神奈川県,平塚市紅谷町,4-6,ムネカタビル6F,,False
すし 魚游 （うおゆう）桜木町駅前店,050-5485-3771,,神奈川県,横浜市中区花咲町,1-36,フルーレ花咲ビル1F,,False
横浜イタリアンダイニング Lu’s CAFE（ルーズカフェ）,050-5485-0593,,神奈川県,横浜市西区楠町,18-6,横浜西口オーケービル1F,,False
YEBISU BAR本厚木ミロード店,050-5494-2187,,神奈川県,厚木市泉町,1-1,小田急本厚木ミロード1,,False
WINE HALL 元町倶楽部 元町店,050-5494-2123,,神奈川県,横浜市中区元町,4-161,,,False
牛タンと全席完全個室 東北郷土料理居酒屋 奥羽本荘 本厚木,050-5493-7181,,神奈川県,厚木市中町,2-4-16,トキワヤビル,,False
Chalk Trip Cafe,050-5494-8383,,神奈川県,厚木市戸室,5-31-1,アツギトレリス3Fフードコート,,False
Caetla（サエラ）,050-5485-6232,,神奈川県,川崎市川崎区駅前本町,14-3,,,False
Peace,050-5486-2080,,神奈川県,横浜市神奈川区西神奈川,1-3-9,2F,,False
YEBISU BAR キュービックプラザ新横浜店,050-5486-6332,,神奈川県,横浜市港北区篠原町,2937,キュービックプラザ新横浜1F,,False
カフェ ココペリ,050-5492-2414,,神奈川県,藤沢市湘南台,2-1-3,サン80湘南台1F,,False
Bistro 湘南,050-5484-4853,,神奈川県,鎌倉市大船,1-20-14,三友ビル2F,,False
espace,050-5492-7678,,神奈川県,中郡大磯町大磯,1098,,,False
千成屋珈琲 ラゾーナ川崎プラザ,050-5492-1492,,神奈川県,川崎市幸区堀川町,72-1,ラゾーナ川崎プラザ2F,,False
焼肉×ワイン 清水橋バル,050-5487-5291,,神奈川県,逗子市逗子,5-14-1,,,False
YEBISUBAR 川崎アゼリア店,050-5488-7307,,神奈川県,川崎市川崎区駅前本町,26-2-2016,,,False
